patch_id,iteration,sigma,data_fidelity,sparsity_term,total_objective,gradient_fidelity_norm,gradient_sparsity_norm,gradient_total_norm,gradient_ratio,lambda_over_sigma2
7,11,5.193809,0.000050,-6.355340,-6.355290,0.009724,0.016893,0.008501,1.7373,0.0037
7,26,2.406246,0.000828,-6.225935,-6.225106,0.037466,0.062650,0.034266,1.6722,0.0173
7,51,0.667468,0.029546,-5.517504,-5.487957,0.223315,0.436214,0.315515,1.9534,0.2245
7,76,0.185149,0.289011,-5.629973,-5.340961,0.799073,0.921852,0.437690,1.1537,2.9172
7,101,0.051358,0.147381,-5.793578,-5.646197,0.597613,0.696282,0.280057,1.1651,37.9122
7,126,0.014246,0.143306,-5.799721,-5.656415,0.591533,0.523954,0.275497,0.8858,492.7184
8,1,8.446728,0.000000,-6.383238,-6.383238,0.000000,0.006663,0.006663,6662645446.6639,0.0014
8,6,6.535917,0.000013,-6.372424,-6.372411,0.005385,0.010852,0.006411,2.0152,0.0023
8,11,5.057368,0.000053,-6.355001,-6.354949,0.010054,0.017442,0.008882,1.7348,0.0039
8,26,2.343034,0.000878,-6.224201,-6.223323,0.038850,0.065180,0.036014,1.6777,0.0182
8,51,0.649933,0.033541,-5.498226,-5.464685,0.241429,0.464131,0.332147,1.9224,0.2367
8,76,0.180285,0.280802,-5.524335,-5.243533,0.854646,0.964798,0.433836,1.1289,3.0767
8,101,0.050009,0.184759,-5.695344,-5.510585,0.787764,0.801097,0.694045,1.0169,39.9854
8,126,0.013872,0.172683,-5.799287,-5.626604,0.736753,0.860593,0.459634,1.1681,519.6629
9,1,7.923876,0.000000,-6.383194,-6.383194,0.000000,0.007112,0.007112,7112266253.7104,0.0016
9,6,6.131344,0.000015,-6.372359,-6.372344,0.005796,0.011584,0.006783,1.9985,0.0027
9,11,4.744317,0.000060,-6.354906,-6.354846,0.010809,0.018618,0.009367,1.7224,0.0044
9,26,2.198001,0.001003,-6.224095,-6.223092,0.041894,0.069576,0.037914,1.6607,0.0207
9,51,0.609702,0.038481,-5.526881,-5.488400,0.266007,0.495556,0.347704,1.8629,0.2690
9,76,0.169125,0.318884,-5.736128,-5.417245,0.929760,1.022312,0.447803,1.0995,3.4961
9,101,0.046914,0.198218,-6.093341,-5.895123,0.813899,0.776099,0.393316,0.9536,45.4364
9,126,0.013013,0.194945,-6.099154,-5.904208,0.813076,0.999549,0.406494,1.2293,590.5047
