patch_id,solver,measurement_residual,coefficient_error,DC_error,AC_error,patch_psnr
26,LASSO-ADMM,0.070678,2.488782,1.822234,1.695139,10.14
27,ASL-SR-DPT,0.567639,1.579597,1.235880,0.983731,14.09
27,OMP,0.000000,0.458514,0.131430,0.439273,24.83
27,LASSO-ADMM,0.075208,2.439631,1.820081,1.624533,10.32
28,ASL-SR-DPT,0.577230,1.149819,0.961601,0.630402,16.85
28,OMP,0.000000,0.481590,0.196105,0.439854,24.41
28,LASSO-ADMM,0.083178,2.462754,1.839070,1.637980,10.23
29,ASL-SR-DPT,0.622544,1.732168,1.314945,1.127531,13.29
29,OMP,0.000000,0.339615,0.149491,0.304944,27.44
29,LASSO-ADMM,0.080873,2.531752,1.871788,1.704752,9.99
30,ASL-SR-DPT,0.608558,1.877679,1.492387,1.139499,12.59
30,OMP,0.000000,0.370630,0.183056,0.322269,26.68
30,LASSO-ADMM,0.076022,2.556658,1.908566,1.701139,9.91
31,ASL-SR-DPT,0.535130,1.559235,1.255489,0.924641,14.20
31,OMP,0.000028,0.417291,0.193391,0.369772,25.65
31,LASSO-ADMM,0.078938,2.544115,1.943349,1.641924,9.95
32,ASL-SR-DPT,0.638195,1.672848,1.259963,1.100414,13.59
32,OMP,0.000000,0.379649,0.044929,0.376981,26.47
32,LASSO-ADMM,0.074209,2.544673,1.849446,1.747830,9.95
33,ASL-SR-DPT,0.570846,1.655634,1.335173,0.978999,13.68
33,OMP,0.000000,0.432382,0.273706,0.334722,25.34
33,LASSO-ADMM,0.082319,2.538062,1.928513,1.650029,9.97
34,ASL-SR-DPT,0.585039,1.773110,1.394205,1.095497,13.09
34,OMP,0.000024,0.517236,0.292623,0.426503,23.79
34,LASSO-ADMM,0.077043,2.542269,1.926960,1.658298,9.96
35,ASL-SR-DPT,0.604655,1.551924,1.240894,0.932014,14.24
35,OMP,0.000000,0.282395,0.069313,0.273757,29.04
35,LASSO-ADMM,0.080633,2.531662,1.880132,1.695411,9.99
36,ASL-SR-DPT,0.577711,1.709326,1.304143,1.104991,13.41
36,OMP,0.000033,0.331109,0.155215,0.292475,27.66
36,LASSO-ADMM,0.077633,2.540386,1.887093,1.700718,9.96
37,ASL-SR-DPT,0.580684,1.644192,1.299046,1.007892,13.74
37,OMP,0.000000,0.394710,0.194176,0.343645,26.14
37,LASSO-ADMM,0.075170,2.554165,1.921037,1.683263,9.92
38,ASL-SR-DPT,0.601522,1.659951,1.287983,1.047157,13.66
38,OMP,0.000000,0.401706,0.240487,0.321767,25.98
38,LASSO-ADMM,0.085893,2.530193,1.898620,1.672459,10.00
39,ASL-SR-DPT,0.580863,1.562375,1.246488,0.941958,14.19
39,OMP,0.000022,0.443257,0.162298,0.412476,25.13
39,LASSO-ADMM,0.079611,2.527184,1.876735,1.692490,10.01
40,ASL-SR-DPT,0.559619,1.706473,1.318852,1.082904,13.42
40,OMP,0.000000,0.290872,0.137769,0.256177,28.79
40,LASSO-ADMM,0.084848,2.538437,1.881658,1.703828,9.97
41,ASL-SR-DPT,0.569352,1.758407,1.357824,1.117277,13.16
41,OMP,0.000000,0.375922,0.089350,0.365149,26.56
41,LASSO-ADMM,0.082418,2.541417,1.892956,1.695736,9.96
