iteration,sigma,active_count,active_ratio,reopening_step,relative_change,residual
114,0.027222,64,1.0000,False,7.803e-04,0.662820
115,0.025861,64,1.0000,True,9.849e-04,0.658405
116,0.024568,64,1.0000,False,1.230e-03,0.663981
117,0.023340,64,1.0000,False,6.870e-04,0.660510
118,0.022173,64,1.0000,True,2.504e-04,0.661381
119,0.021064,64,1.0000,False,1.778e-04,0.661316
120,0.020011,64,1.0000,False,1.850e-04,0.661512
121,0.019010,64,1.0000,True,1.767e-04,0.661503
122,0.018060,64,1.0000,False,1.789e-04,0.661570
123,0.017157,64,1.0000,False,1.746e-04,0.661500
124,0.016299,64,1.0000,True,1.770e-04,0.661520
125,0.015484,64,1.0000,False,1.728e-04,0.661346
126,0.014710,64,1.0000,False,1.805e-04,0.661432
127,0.013974,64,1.0000,True,1.815e-04,0.660933
128,0.013276,64,1.0000,False,1.308e-04,0.661336
129,0.012612,64,1.0000,False,1.057e-04,0.661015
130,0.011981,64,1.0000,True,1.240e-04,0.661356
131,0.011382,64,1.0000,False,1.264e-04,0.660869
132,0.010813,64,1.0000,False,9.495e-05,0.661213
133,0.010272,64,1.0000,True,4.901e-05,0.661133
134,0.010000,64,1.0000,False,4.562e-05,0.661140
135,0.010000,64,1.0000,False,4.357e-05,0.661020
136,0.010000,64,1.0000,True,4.288e-05,0.660973
137,0.010000,64,1.0000,False,4.265e-05,0.660884
138,0.010000,64,1.0000,False,4.256e-05,0.660819
139,0.010000,64,1.0000,True,4.252e-05,0.660741
140,0.010000,64,1.0000,False,4.250e-05,0.660670
141,0.010000,64,1.0000,False,4.248e-05,0.660595
142,0.010000,64,1.0000,True,4.246e-05,0.660522
143,0.010000,64,1.0000,False,4.245e-05,0.660449
144,0.010000,64,1.0000,False,4.243e-05,0.660376
145,0.010000,64,1.0000,True,4.241e-05,0.660302
146,0.010000,64,1.0000,False,4.240e-05,0.660229
147,0.010000,64,1.0000,False,4.238e-05,0.660156
148,0.010000,64,1.0000,True,4.236e-05,0.660083
149,0.010000,64,1.0000,False,4.235e-05,0.660010
150,0.010000,64,1.0000,False,4.233e-05,0.659937
