sensing_mode,runtime_seconds,mean_time_per_patch,mean_iterations,active_ratio,residual,psnr,ssim,mse
standard,3.5203,0.007041,137.71,0.9998,0.650726,7.3249,0.0081,0.185143
dc_preserving,2.6730,0.005346,100.53,0.9997,0.652940,7.3252,0.0081,0.185133
