init_method,iterations,runtime_seconds,final_objective,residual,psnr,ssim,mse
pinv_warm_start,68855,3.5203,-6.017501,0.650726,7.3249,0.0081,0.185143
zeros_cold_start,69153,3.6328,-5.738035,0.720195,7.3191,0.0062,0.185391
