sigma,sigma_norm,M_AC,mean,median,std,p05,p10,p50,p90,p95,p99,p99_9
15.0,0.058823529411764705,37,0.3541497216052492,0.35205063916619506,0.05059093703015475,0.27455222227710147,0.29076078827079094,0.35205063916619506,0.4199393795049324,0.440729922780194,0.48121656281568687,0.5304635497770451
25.0,0.09803921568627451,37,0.5902355490041067,0.5862400062575289,0.08475485609185912,0.45742862488316144,0.4845021655175183,0.5862400062575289,0.7012753171553159,0.7358748419708414,0.8046558313324208,0.8858140844296405
50.0,0.19607843137254902,37,1.1800707193813522,1.1726773339935457,0.16965093576515533,0.9136814822734739,0.9670724983267196,1.1726773339935457,1.4016973748116142,1.4714271741788256,1.60294975822465,1.7700482592711926
