seed,trial,trace,min_diag,max_diag,min_eig,max_eig,condition_number,frobenius_norm,fro_diff_I,spectral_diff_I,mean_abs_offdiag,max_abs_offdiag
20275908,1,37.0,0.9999999999999992,1.0000000000000007,0.057728288813403354,2.6500308011805433,45.905237374111444,7.5453216575264515,4.464513289882528,1.6500308011805433,0.10037093409019528,0.3348489351840504
20285908,2,36.99999999999999,0.9999999999999992,1.0000000000000004,0.11010691064908176,2.828067850898004,25.684744347348452,7.5470941425128775,4.467508253596424,1.828067850898004,0.09822356697808135,0.3610701110533287
20295908,3,37.0,0.9999999999999994,1.0000000000000004,0.09739878743334915,2.909319484486061,29.870181766656327,7.591656604466664,4.542383735456779,1.909319484486061,0.09769883290532842,0.4839933561178894
20305908,4,36.999999999999986,0.9999999999999993,1.0000000000000004,0.07574928213066595,2.790595545796579,36.83989428418423,7.639367337175668,4.621680788664062,1.7905955457965792,0.10004898229120458,0.49027549956768957
20315908,5,37.000000000000014,0.9999999999999994,1.0000000000000004,0.0697880543952211,2.6430011093934915,37.871826809008695,7.552947879674182,4.477390051478061,1.6430011093934915,0.09769251768080132,0.34836317951006474
20325908,6,37.00000000000001,0.9999999999999994,1.0000000000000004,0.05568343158424043,2.7146280844426576,48.75109179174499,7.592759162660827,4.54422619399276,1.7146280844426576,0.09826783205549999,0.44085415905130804
20335908,7,37.0,0.9999999999999993,1.0000000000000004,0.07328369743273304,2.669822932161705,36.431335012979254,7.594264112635383,4.546740306248165,1.669822932161705,0.09952454461293361,0.44399112571671967
20345908,8,36.999999999999986,0.9999999999999994,1.0000000000000007,0.07126456794838394,2.955393199391171,41.47072359340937,7.7226129622386575,4.758019647346629,1.955393199391171,0.10502352406200428,0.3612689138263676
20355908,9,36.99999999999999,0.9999999999999996,1.0000000000000004,0.06439114874990975,2.8729267692377034,44.61679633012806,7.74158495548089,4.788751154834427,1.8729267692377034,0.10436359589852114,0.3868819944910208
20365908,10,36.99999999999999,0.9999999999999993,1.0000000000000007,0.09199498698405897,2.862555076879111,31.116424608822857,7.556763129239547,4.483823033019286,1.862555076879111,0.09939342742900026,0.45283358426652653
20375908,11,36.999999999999986,0.9999999999999996,1.0000000000000007,0.05894297313444851,2.63569842661582,44.71607532595633,7.652079872341547,4.6426637152279975,1.63569842661582,0.10204381268260652,0.42834298999249515
20385908,12,37.00000000000001,0.9999999999999996,1.0000000000000004,0.04225814707460391,2.766119810316186,65.45766915508122,7.591757058752628,4.5425516220644475,1.766119810316186,0.10024965658640378,0.3812209756841613
20395908,13,36.99999999999999,0.9999999999999996,1.0000000000000007,0.04788681279616872,2.776617280581799,57.98292094319436,7.691636233976311,4.7075755921511515,1.776617280581799,0.10287594266176539,0.39535897417126237
20405908,14,37.00000000000001,0.9999999999999994,1.0000000000000007,0.06799790743748363,2.97756676693349,43.789094093388464,7.73969284833541,4.785691735431181,1.97756676693349,0.10627022719841335,0.5035290455721102
20415908,15,37.00000000000001,0.9999999999999994,1.0000000000000007,0.07799590863958464,2.646935953476153,33.93685642804057,7.503879301012968,4.394110213020475,1.6469359534761532,0.09699376026235955,0.37355780713910025
20425908,16,36.99999999999999,0.9999999999999993,1.0000000000000004,0.07519762653140794,2.8258150974475766,37.57851447967328,7.491700284321177,4.373279450263613,1.8258150974475766,0.09659458486354099,0.4038219643943261
20435908,17,37.0,0.9999999999999994,1.0000000000000007,0.06810943124939445,2.963417927404632,43.509656049740975,7.655060753650259,4.647575189502206,1.963417927404632,0.1019591032980715,0.41061054372046524
20445908,18,37.0,0.9999999999999994,1.0000000000000002,0.09571050783602755,2.801003828164229,29.2653742153677,7.591323887204111,4.5418276453907565,1.8010038281642289,0.10028401752278548,0.34445644521583385
20455908,19,37.0,0.9999999999999994,1.0000000000000007,0.08344055258589662,2.7041845226016408,32.40851646827073,7.476326566716146,4.346890720064819,1.7041845226016408,0.09622033079623572,0.3355001971853077
20465908,20,37.0,0.9999999999999993,1.0000000000000007,0.0734319728771194,2.7414856893430954,37.33367880406373,7.503967367445714,4.3942606035248,1.7414856893430954,0.09680411709078272,0.44778669852125413
20475908,21,36.99999999999999,0.9999999999999994,1.0000000000000004,0.06714026993387237,2.9205172135372908,43.49874101509808,7.711254437400963,4.739561688419725,1.9205172135372908,0.10409126409815038,0.3872653838142564
20485908,22,37.00000000000001,0.9999999999999992,1.0000000000000004,0.10205019482721193,2.657253322349126,26.038689361135475,7.5380064161374,4.452138893804707,1.657253322349126,0.09725317410783796,0.36693657403955426
20495908,23,37.0,0.9999999999999996,1.0000000000000004,0.05816412594345302,2.750173132376194,47.28297877371877,7.652414691026238,4.643215545657364,1.7501731323761942,0.10146753733818928,0.4023514481428208
20505908,24,37.0,0.9999999999999994,1.0000000000000004,0.0820136333007737,2.8481866406889584,34.72820951906406,7.651446451185686,4.641619630620547,1.8481866406889584,0.10229175532599952,0.4104291652611236
20515908,25,37.0,0.9999999999999992,1.0000000000000007,0.056554529460480306,3.2122935589643573,56.79993432195512,7.776732799638818,4.845366140652138,2.2122935589643573,0.10641233933036856,0.43225707145386355
20525908,26,37.00000000000001,0.9999999999999996,1.0000000000000007,0.08421348521908573,2.695342008414349,32.00606175367612,7.490253023465954,4.370799738668067,1.695342008414349,0.09506219316648627,0.41844471243077697
20535908,27,37.00000000000001,0.9999999999999993,1.0000000000000004,0.10339058747629613,2.7541315330793017,26.638126354690925,7.60805512159477,4.569737709456025,1.7541315330793017,0.10018293564089464,0.4245768225413768
20545908,28,37.00000000000001,0.9999999999999996,1.0000000000000007,0.0774646298930804,2.7767320083355416,35.84515942525113,7.604548561338666,4.563897328135019,1.7767320083355416,0.10026409066417186,0.3830060303646982
20555908,29,37.0,0.9999999999999992,1.0000000000000007,0.07905880268903837,2.8358790174160733,35.87050297954073,7.702481472607917,4.725274683642024,1.8358790174160733,0.10334756203322222,0.429864188669574
20565908,30,37.0,0.9999999999999994,1.0000000000000004,0.06216407065166582,2.762737745819791,44.442677528321695,7.5415495594403215,4.458135233199472,1.7627377458197908,0.09771985836291651,0.33413386456525
20575908,31,37.00000000000001,0.9999999999999994,1.0000000000000007,0.062279566995228824,3.014556671005129,48.40362283244633,7.705787541757677,4.730661860533663,2.014556671005129,0.10259627064630686,0.518669147321076
20585908,32,36.99999999999999,0.9999999999999994,1.0000000000000004,0.07639449042973306,2.7524307985070013,36.0291793691413,7.562708209632318,4.493835273353939,1.7524307985070013,0.09876527192772352,0.41330195453375973
20595908,33,36.99999999999999,0.9999999999999993,1.0000000000000004,0.07417808724714652,2.8356738577004466,38.227918283367835,7.625166641213269,4.598169886625726,1.8356738577004466,0.09925324141567925,0.48591655680024337
20605908,34,37.0,0.9999999999999993,1.0000000000000004,0.07595405164982803,2.85585886019597,37.599822500086944,7.6286245182703585,4.603901827879876,1.85585886019597,0.09982668491659932,0.37450844630876745
20615908,35,36.999999999999986,0.9999999999999992,1.0000000000000004,0.11461753066386687,2.728202557144551,23.802663879973256,7.579907055768087,4.5227194224363325,1.728202557144551,0.09996711859371792,0.3791636589178453
20625908,36,37.00000000000001,0.9999999999999996,1.0000000000000004,0.06893925422461201,2.7441891799119142,39.80590174316407,7.642314913646095,4.626551333265148,1.7441891799119142,0.10059718947921872,0.3671824067481531
20635908,37,37.0,0.9999999999999996,1.0000000000000007,0.06284167836332119,2.7875508981444574,44.35831395253548,7.704465228357324,4.728507635075476,1.7875508981444574,0.10526703156736136,0.41575026477166654
20645908,38,37.0,0.9999999999999996,1.0000000000000004,0.09318486334705274,2.7543063583517147,29.557443767382292,7.551342626736127,4.474681605026449,1.7543063583517147,0.09743359715788062,0.4663260526626156
20655908,39,37.00000000000001,0.9999999999999996,1.0000000000000007,0.06448801255754451,3.00142978130983,46.542445057235525,7.665468567554129,4.664698099573043,2.00142978130983,0.10229747205947147,0.3976710177466476
20665908,40,37.0,0.9999999999999994,1.0000000000000004,0.10103696301839427,2.8454609416239482,28.16257393945935,7.621951717001452,4.592836593686016,1.8454609416239482,0.10048540458960213,0.43706569897450553
20675908,41,36.99999999999999,0.9999999999999993,1.0000000000000007,0.0760395792752454,2.730230593935554,35.90538795661613,7.6200095684255835,4.589612818408264,1.7302305939355538,0.09995689087974846,0.41491943136085774
20685908,42,37.00000000000001,0.9999999999999993,1.0000000000000007,0.08853792989209414,2.9243612594950763,33.0294740690137,7.5978920577998785,4.552797351297164,1.9243612594950763,0.09894546387798778,0.3805420894537236
20695908,43,37.0,0.9999999999999994,1.0000000000000007,0.06316290045187771,3.0744266633670785,48.67456436249963,7.686764190118582,4.699611017359777,2.0744266633670785,0.10415056276602873,0.35702819196549584
20705908,44,37.0,0.9999999999999996,1.0000000000000007,0.06953333518686222,2.7662637589601706,39.78327447584931,7.7009503148522604,4.72277839325784,1.7662637589601706,0.10380581968087262,0.44060646096716694
20715908,45,36.99999999999999,0.9999999999999994,1.0000000000000004,0.06223237962731937,2.765978558862758,44.44597130026058,7.660864247408916,4.657127979477068,1.765978558862758,0.10250510716560289,0.43440843262471335
20725908,46,36.99999999999999,0.9999999999999994,1.0000000000000002,0.09883291990943102,2.8455954374157413,28.79197983853357,7.6039645235988855,4.562924114660512,1.8455954374157413,0.10120304494023283,0.3831955300336852
20735908,47,37.0,0.9999999999999996,1.0000000000000004,0.0603849785585248,2.8706066378449964,47.538422739735175,7.631733445827869,4.60905146295501,1.8706066378449964,0.10242933398977373,0.35842598993146585
20745908,48,37.0,0.9999999999999994,1.0000000000000007,0.07573060216239977,3.169708129185086,41.85504985669909,7.726773732702006,4.764769912217557,2.169708129185086,0.10464234763317222,0.4354796705042589
20755908,49,37.0,0.9999999999999996,1.0000000000000007,0.06219819321463917,2.8799628732612828,46.30299892028769,7.676417379846823,4.682668447542956,1.8799628732612828,0.10258443246481298,0.3885271546672849
