patch_id,noise_sigma,config,support_size,M,support_ratio_M,cond_A_S,cond_ATA,rank_A_S,variance_amplification_tr,pre_debias_residual,post_debias_residual,psnr
0,15.0,A5,3,38,0.07894736842105263,1.2831106512216117,1.6463729432783485,3,5.539280200443416,0.5444356197894147,0.5342904360886865,19.104993490909337
0,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.7584060695507522,8.029952337223718e-16,22.218656446080796
1,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.33937811686562686,0.33950224572061527,27.48451728988976
1,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.41661797052518357,5.613432221253381e-16,25.28971839355672
2,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.4400310195340488,0.4402030186896218,22.682669571865944
2,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.6300025084936545,7.702450604540067e-16,25.0824442889899
3,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.5064030687348154,0.5071569953898685,22.133797746379607
3,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.48785158812138557,5.62755531893293e-16,23.861326617236735
4,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.5198828038242117,0.5204865011351252,23.977408653156658
4,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.5041216997298581,8.289456721508926e-16,24.92504596920866
5,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,1.2063987826581188,1.20827761677293,15.796611548944302
5,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.9329261821742382,1.1795191650634087e-15,19.60361789081381
6,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.4757987413551493,0.4754482186115263,22.193136363419825
6,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.4206176948802777,5.237091100891367e-16,23.24598550839748
7,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.43327148937119786,0.43367379411582385,27.270174829532003
7,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.42522436573309214,4.788601586485377e-16,25.82385593435385
8,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.9498508888101407,0.9505524543023649,15.513708033427196
8,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,1.1501814711234861,1.5827457667150214e-15,18.375654357145613
9,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.5464998795725022,0.5471474208916478,23.255126470367884
9,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.44350450046794127,6.879490984260703e-16,24.734864284202924
10,15.0,A5,5,38,0.13157894736842105,1.7460635230786468,3.048737826625816,5,9.433876786997768,1.2373068971727774,1.2379894324318381,10.07514512810663
10,15.0,A5A6,2,37,0.05405405405405406,1.1141298283432823,1.2412852744042318,2,3.9363087304828563,0.9746281705065445,0.9749263506544216,12.695165807328074
11,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.19580627299343864,0.14561379948756883,42.886280000028556
11,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.14938925330941924,1.6699135134861036e-16,31.23134211483042
12,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.2308349486552085,0.20259192020423264,32.41119211394005
12,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.2212655326291461,3.5841834781511613e-16,28.716547199680676
13,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.21580833204676872,0.18788895402972633,33.447420656087104
13,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.21717159570579228,3.138070686433491e-16,28.322231159609554
14,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.33047321610600394,0.33071643828489794,32.87410872293372
14,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.3075635977674008,4.469676811123743e-16,27.83903158811436
15,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.6431661727914832,0.6443398968704352,20.785685361513533
15,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.6153742996618372,6.80425243728509e-16,22.578917972642614
16,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.8210255979579681,0.8205351717071959,19.293430830739194
16,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.7934871047665006,9.725968159057976e-16,22.058359152362257
17,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.5676576435951828,0.568459730368738,22.180618795188952
17,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.7472347809359914,7.477060658672601e-16,22.93863389602222
18,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.28675788741750696,0.2862879479267749,43.93862956222337
18,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.274102914349661,3.980194038606464e-16,28.614215573378697
19,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.3151223144976437,0.31530823106022476,40.061933952884694
19,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.3555346357594916,4.811200128585003e-16,26.979348553799205
20,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.36170592617758235,0.3618029354397607,38.83001817901157
20,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.3311974365142176,4.24856764262247e-16,27.245675035607448
21,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.4249896132503001,0.4247267225218394,37.05457618682892
21,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.44802705139146926,5.735643869438539e-16,24.713504306665214
22,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.37154611917773067,0.37188802100044427,30.105629879378494
22,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.48732758906983,4.392251671218573e-16,24.806345533790886
23,15.0,A5,4,38,0.10526315789473684,1.388089786210791,1.9267932545827196,4,6.880022463792674,0.9165224990321585,0.917589650579196,17.341492748844004
23,15.0,A5A6,2,37,0.05405405405405406,1.5882746338173495,2.5226163124276355,2,5.050328312038108,0.7726178340174181,0.7477074237175746,15.629210607113786
24,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.9276422476329533,0.9287530503339625,15.610198577860032
24,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,1.0516829947166486,1.2100725221741881e-15,17.901529991717666
25,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.5081514994434168,0.5089010493783296,26.29965116883001
25,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.48860029377677056,6.123770436275659e-16,24.962780851550693
26,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.37549510086677657,0.37579603170133213,31.721843713879657
26,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.3518668266843388,4.401627951004767e-16,27.022153540480804
27,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.34455205916480325,0.3438657458316207,35.77305401776092
27,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.3418598298048472,4.1967134339273054e-16,25.3253106924279
28,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.35788674647054364,0.35821705324995246,28.476427991984266
28,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.5336314391749829,6.284489209816975e-16,25.65359594685112
29,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.34379525489454543,0.34424799366309944,32.24709786178014
29,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.38768868183667016,4.636551515838524e-16,26.227603722205963
30,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.4599752408836242,0.45956289779692433,34.620007905870764
30,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.4248701516581181,5.031313047080876e-16,26.255960853600072
31,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.46413707124045817,0.46463218431105774,29.36688446021207
31,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.44282236665658337,5.683384065230156e-16,25.202280200896055
32,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.3293395832875521,0.3296175171612339,33.00482005263448
32,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.3632932281155038,5.427813648963937e-16,25.659957922622564
33,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.3222365811076187,0.32261209468999885,35.86129975660077
33,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.40174293141299666,6.415452103415368e-16,25.965655908654576
34,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.37570800815760763,0.3760629820378829,28.713556796302584
34,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.5343875862358115,7.80207673097932e-16,25.105207739863697
35,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.39029374882710977,0.3906637641522553,26.95381538994924
35,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.34323085998927005,5.268101650637072e-16,25.271330012559545
36,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.5015183023701225,0.502234810947697,26.426572862139427
36,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.44702871864344507,6.697262764769739e-16,24.81908088644897
37,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.7641030779843628,0.7651949665602285,18.784929424751237
37,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.7926135777159861,1.2079668172721168e-15,21.606451418045477
38,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.5497440884405833,0.5502050398191837,25.810913061227566
38,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.5771506198303514,5.4765634996031475e-16,24.197933911543075
39,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.5015928160511592,0.5022369019824885,25.949939980309153
39,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.5096108629675227,6.327824466723483e-16,24.421977784778672
40,15.0,A5,2,38,0.05263157894736842,1.357115108903746,1.8417614188148266,2,3.5651314231797313,0.5120764893787627,0.5086391668960301,20.448214325136952
40,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.7053419094454294,9.315582167170059e-16,21.42209184466511
41,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.23844019872971628,0.21449910255065763,28.903589173757013
41,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.23325351727032587,3.386992057469038e-16,27.43307325861516
42,15.0,A5,2,38,0.05263157894736842,1.239019926381448,1.535170377970289,2,3.6031874199086555,0.3296928391763309,0.31834436133745514,25.618935970722326
42,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.7041707477799924,8.988027378134297e-16,20.22676271383237
43,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.5338855926914904,0.5343242483233065,24.335122078686865
43,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.5956100524901521,8.026936163370852e-16,24.926068165145942
44,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.5061443460857048,0.5055801453117857,23.031844973949926
44,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.5963330470933478,6.210432696942162e-16,23.470106867651165
45,15.0,A5,2,38,0.05263157894736842,1.3703501481141487,1.8778595284364692,2,3.411257245713057,0.20751729272714017,0.14747961418707992,30.287712338288628
45,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.1654430274044382,2.3240874415770594e-16,30.278817168091727
46,15.0,A5,2,38,0.05263157894736842,1.2547419076086574,1.5743772547094126,2,3.641458281422409,1.0189661982438547,1.0202252125827003,14.745461103804232
46,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.93875814043022,9.879962183398799e-16,18.131937878335755
47,15.0,A5,2,38,0.05263157894736842,1.1168082710455467,1.2472607142757433,2,3.3153568368751065,0.5658061231967365,0.5664988599917015,21.70563547520926
47,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.9620595322158988,1.3966261290691036e-15,17.729070036219163
48,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.6216005485513446,0.6220980757749758,22.731538666835913
48,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.47970268264566873,6.054975508345719e-16,24.013885098820666
49,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.7171578178630845,0.7182487710770938,18.35764159401089
49,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.6175112714181256,1.069742588111404e-15,21.379149693132867
50,15.0,A5,3,38,0.07894736842105263,1.4715047348128876,2.1653261845767466,3,5.308732657910246,0.7197359385419013,0.719232242601327,16.08655257561053
50,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.6172877437611896,9.787895710492327e-16,21.09217810503801
51,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.2817216816102604,0.2675006856789793,46.60231751483161
51,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.25468694894290034,3.9219379759615537e-16,28.82781704612534
52,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.3701094915370692,0.36555834797950354,30.020191363312225
52,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.38109443245068964,5.516845112655171e-16,26.118101767406124
53,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.25163945397247234,0.23871728251495603,38.22058827796266
53,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.2533217820702678,3.265102878927456e-16,28.5051358617158
54,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.26592997691879355,0.24466144199768375,35.345788589377214
54,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.21833544181277967,2.4351248375544253e-16,30.354649761552395
55,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.4365745796666939,0.4368463773046987,37.52462054400987
55,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.40438201672478485,4.2935216436522677e-16,26.227872344450095
56,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.35505431964192086,0.35411149903977246,35.20934070126503
56,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.37264819485213696,5.144721985840395e-16,25.90913159070681
57,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.2449966416335771,0.24388948375466143,36.22284349691383
57,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.3664322229109581,5.181468313908227e-16,27.356872480798454
58,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.576809621663919,0.5775099683773368,23.243740907019173
58,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.5504549317823068,7.334465425342906e-16,23.70938374905126
59,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.5052604737444889,0.5059142781894576,24.692322369093084
59,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.4703383690720048,5.914949190455554e-16,26.054374498278374
60,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.39762038534393274,0.3977973595604477,25.1805864227186
60,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.4897660265285837,7.825642401376655e-16,25.47903519566839
61,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.4957379823197372,0.4962932183245506,25.382073607040837
61,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.49508423207390956,5.247230717830742e-16,24.43539362685399
62,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.48164679535441784,0.48247063724618017,37.3338523372298
62,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.33166679982331015,5.336791999942439e-16,26.214813828190934
63,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.7230796657988637,0.7239425423317147,18.27524624079163
63,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.7725686587042658,9.085700113165882e-16,20.17001009383728
64,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.3501540142995495,0.3505269481786254,33.130983507605286
64,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.35375553291569667,4.942112710685009e-16,27.625100353035464
65,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.2736834805883932,0.27359354415656983,35.48930948277631
65,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.3261356879230623,4.433517317779295e-16,27.915451223132457
66,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.820564019757097,0.8219006877446494,19.598201831020845
66,15.0,A5A6,1,37,0.02702702702702703,1.0,1.0,1,1.9299957902109612,0.39023830648081553,0.38371341087107025,21.778347877988523
67,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.6856424625731872,0.6865068112883446,18.677734471717407
67,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.6937381065223155,9.90903750705769e-16,21.33552367833648
68,15.0,A5,1,38,0.02631578947368421,1.0,1.0,1,1.7638678701310329,0.6394462926286574,0.6399709774227053,19.078897100960685
68,15.0,A5A6,63,37,1.7027027027027026,7.047720418649735,49.6703630994524,37,96.6027667047469,0.7152875822110096,8.89054243463579e-16,22.60162753010967
